[06/30 13:12:44]    DEBUG | Config used: {'app-id': 'com.instagram.android', 'carousel-count': '2-3', 'carousel-percentage': '60-70', 'close-apps': False, 'count-app-crashes': False, 'debug': False, 'delete-interacted-users': True, 'delete-removed-followers': True, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'end-if-comments-limit-reached': False, 'end-if-follows-limit-reached': False, 'end-if-likes-limit-reached': True, 'end-if-pm-limit-reached': False, 'end-if-watches-limit-reached': False, 'feed': '2-5', 'fling-when-skipped': 0, 'follow-limit': 50, 'follow-percentage': '30-40', 'interact-percentage': '30-40', 'interactions-count': '30-40', 'likes-count': '1-2', 'likes-percentage': 100, 'max-comments-pro-user': '1-2', 'min-following': 100, 'remove-followers-from-file': ['remove1.txt 5-10', 'remove2.txt 6'], 'repeat': '280-320', 'screen-record': False, 'screen-sleep': True, 'shuffle-jobs': True, 'skipped-list-limit': '10-15', 'skipped-posts-limit': 5, 'sort-followers-newest-to-oldest': False, 'speed-multiplier': 1, 'stories-count': '1-2', 'stories-percentage': '30-40', 'telegram-reports': False, 'time-delta': '10-15', 'total-comments-limit': '3-5', 'total-crashes-limit': 5, 'total-follows-limit': '40-50', 'total-interactions-limit': '280-300', 'total-likes-limit': '120-150', 'total-pm-limit': '3-5', 'total-scraped-limit': '100-150', 'total-sessions': 1, 'total-successful-interactions-limit': '120-150', 'total-unfollows-limit': '40-50', 'total-watches-limit': '120-150', 'truncate-sources': '2-5', 'unfollow-delay': 15, 'use-cloned-app': False, 'username': 'a.vlii', 'watch-photo-time': '3-4', 'watch-video-time': '15-35'} (config.py:160)
[06/30 14:05:27]    DEBUG | Initial log file: logs/a.vlii.log (log.py:100)
[06/30 14:05:27]    DEBUG | Installed via pip. (utils.py:140)
[06/30 14:05:27]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:141)
[06/30 14:05:30]     INFO | Checking for updates... (utils.py:63)
[06/30 14:05:30]     INFO | Bot is updated. (utils.py:77)
[06/30 14:05:30]     INFO | GramAddict v.3.2.4 (utils.py:80)
[06/30 14:05:30]     INFO | Loading plugins . . . (plugin_loader.py:30)
[06/30 14:05:30]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[06/30 14:05:30]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[06/30 14:05:30]  WARNING | If you want to use telegram_reports, please type in console: 'pip3 install gramaddict[telegram-reports]' (telegram.py:18)
[06/30 14:05:30]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[06/30 14:05:30]    DEBUG | Arguments used: --config /home/alvi/repos/IBot/UI/instagram-bot-dashboard/Bot/accounts/a.vlii/config.yml (config.py:158)
[06/30 14:05:30]    DEBUG | Config used: {'app-id': 'com.instagram.android', 'carousel-count': '2-3', 'carousel-percentage': '60-70', 'close-apps': False, 'count-app-crashes': False, 'debug': False, 'delete-interacted-users': True, 'delete-removed-followers': True, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'end-if-comments-limit-reached': False, 'end-if-follows-limit-reached': False, 'end-if-likes-limit-reached': True, 'end-if-pm-limit-reached': False, 'end-if-watches-limit-reached': False, 'feed': '2-5', 'fling-when-skipped': 0, 'follow-limit': 50, 'follow-percentage': '30-40', 'interact-percentage': '30-40', 'interactions-count': '30-40', 'likes-count': '1-2', 'likes-percentage': 100, 'max-comments-pro-user': '1-2', 'min-following': 100, 'remove-followers-from-file': ['remove1.txt 5-10', 'remove2.txt 6'], 'repeat': '280-320', 'screen-record': False, 'screen-sleep': True, 'shuffle-jobs': True, 'skipped-list-limit': '10-15', 'skipped-posts-limit': 5, 'sort-followers-newest-to-oldest': False, 'speed-multiplier': 1, 'stories-count': '1-2', 'stories-percentage': '30-40', 'telegram-reports': False, 'time-delta': '10-15', 'total-comments-limit': '3-5', 'total-crashes-limit': 5, 'total-follows-limit': '40-50', 'total-interactions-limit': '280-300', 'total-likes-limit': '120-150', 'total-pm-limit': '3-5', 'total-scraped-limit': '100-150', 'total-sessions': 1, 'total-successful-interactions-limit': '120-150', 'total-unfollows-limit': '40-50', 'total-watches-limit': '120-150', 'truncate-sources': '2-5', 'unfollow-delay': 15, 'use-cloned-app': False, 'username': 'a.vlii', 'watch-photo-time': '3-4', 'watch-video-time': '15-35'} (config.py:160)
[06/30 14:05:33]    DEBUG | Initial log file: logs/a.vlii.log (log.py:100)
[06/30 14:05:33]    DEBUG | Installed via pip. (utils.py:140)
[06/30 14:05:33]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:141)
[06/30 14:05:36]     INFO | Checking for updates... (utils.py:63)
[06/30 14:05:37]     INFO | Bot is updated. (utils.py:77)
[06/30 14:05:37]     INFO | GramAddict v.3.2.4 (utils.py:80)
[06/30 14:05:37]     INFO | Loading plugins . . . (plugin_loader.py:30)
[06/30 14:05:37]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[06/30 14:05:37]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[06/30 14:05:37]  WARNING | If you want to use telegram_reports, please type in console: 'pip3 install gramaddict[telegram-reports]' (telegram.py:18)
[06/30 14:05:37]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[06/30 14:05:37]    DEBUG | Arguments used: --config /home/alvi/repos/IBot/UI/instagram-bot-dashboard/Bot/accounts/a.vlii/config.yml (config.py:158)
[06/30 14:05:37]    DEBUG | Config used: {'app-id': 'com.instagram.android', 'carousel-count': '2-3', 'carousel-percentage': '60-70', 'close-apps': False, 'count-app-crashes': False, 'debug': False, 'delete-interacted-users': True, 'delete-removed-followers': True, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'end-if-comments-limit-reached': False, 'end-if-follows-limit-reached': False, 'end-if-likes-limit-reached': True, 'end-if-pm-limit-reached': False, 'end-if-watches-limit-reached': False, 'feed': '2-5', 'fling-when-skipped': 0, 'follow-limit': 50, 'follow-percentage': '30-40', 'interact-percentage': '30-40', 'interactions-count': '30-40', 'likes-count': '1-2', 'likes-percentage': 100, 'max-comments-pro-user': '1-2', 'min-following': 100, 'remove-followers-from-file': ['remove1.txt 5-10', 'remove2.txt 6'], 'repeat': '280-320', 'screen-record': False, 'screen-sleep': True, 'shuffle-jobs': True, 'skipped-list-limit': '10-15', 'skipped-posts-limit': 5, 'sort-followers-newest-to-oldest': False, 'speed-multiplier': 1, 'stories-count': '1-2', 'stories-percentage': '30-40', 'telegram-reports': False, 'time-delta': '10-15', 'total-comments-limit': '3-5', 'total-crashes-limit': 5, 'total-follows-limit': '40-50', 'total-interactions-limit': '280-300', 'total-likes-limit': '120-150', 'total-pm-limit': '3-5', 'total-scraped-limit': '100-150', 'total-sessions': 1, 'total-successful-interactions-limit': '120-150', 'total-unfollows-limit': '40-50', 'total-watches-limit': '120-150', 'truncate-sources': '2-5', 'unfollow-delay': 15, 'use-cloned-app': False, 'username': 'a.vlii', 'watch-photo-time': '3-4', 'watch-video-time': '15-35'} (config.py:160)
[06/30 14:06:03]    DEBUG | Initial log file: logs/a.vlii.log (log.py:100)
[06/30 14:06:03]    DEBUG | Installed via pip. (utils.py:140)
[06/30 14:06:03]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:141)
[06/30 14:06:06]     INFO | Checking for updates... (utils.py:63)
[06/30 14:06:06]     INFO | Bot is updated. (utils.py:77)
[06/30 14:06:06]     INFO | GramAddict v.3.2.4 (utils.py:80)
[06/30 14:06:06]     INFO | Loading plugins . . . (plugin_loader.py:30)
[06/30 14:06:06]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[06/30 14:06:06]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[06/30 14:06:06]  WARNING | If you want to use telegram_reports, please type in console: 'pip3 install gramaddict[telegram-reports]' (telegram.py:18)
[06/30 14:06:06]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[06/30 14:06:06]    DEBUG | Arguments used: --config /home/alvi/repos/IBot/UI/instagram-bot-dashboard/Bot/accounts/a.vlii/config.yml (config.py:158)
[06/30 14:06:06]    DEBUG | Config used: {'app-id': 'com.instagram.android', 'carousel-count': '2-3', 'carousel-percentage': '60-70', 'close-apps': False, 'count-app-crashes': False, 'debug': False, 'delete-interacted-users': True, 'delete-removed-followers': True, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'end-if-comments-limit-reached': False, 'end-if-follows-limit-reached': False, 'end-if-likes-limit-reached': True, 'end-if-pm-limit-reached': False, 'end-if-watches-limit-reached': False, 'feed': '2-5', 'fling-when-skipped': 0, 'follow-limit': 50, 'follow-percentage': '30-40', 'interact-percentage': '30-40', 'interactions-count': '30-40', 'likes-count': '1-2', 'likes-percentage': 100, 'max-comments-pro-user': '1-2', 'min-following': 100, 'remove-followers-from-file': ['remove1.txt 5-10', 'remove2.txt 6'], 'repeat': '280-320', 'screen-record': False, 'screen-sleep': True, 'shuffle-jobs': True, 'skipped-list-limit': '10-15', 'skipped-posts-limit': 5, 'sort-followers-newest-to-oldest': False, 'speed-multiplier': 1, 'stories-count': '1-2', 'stories-percentage': '30-40', 'telegram-reports': False, 'time-delta': '10-15', 'total-comments-limit': '3-5', 'total-crashes-limit': 5, 'total-follows-limit': '40-50', 'total-interactions-limit': '280-300', 'total-likes-limit': '120-150', 'total-pm-limit': '3-5', 'total-scraped-limit': '100-150', 'total-sessions': 1, 'total-successful-interactions-limit': '120-150', 'total-unfollows-limit': '40-50', 'total-watches-limit': '120-150', 'truncate-sources': '2-5', 'unfollow-delay': 15, 'use-cloned-app': False, 'username': 'a.vlii', 'watch-photo-time': '3-4', 'watch-video-time': '15-35'} (config.py:160)
[06/30 14:06:51]    DEBUG | Initial log file: logs/a.vlii.log (log.py:100)
[06/30 14:06:51]    DEBUG | Installed via pip. (utils.py:140)
[06/30 14:06:51]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:141)
[06/30 14:06:54]     INFO | Checking for updates... (utils.py:63)
[06/30 14:06:54]     INFO | Bot is updated. (utils.py:77)
[06/30 14:06:54]     INFO | GramAddict v.3.2.4 (utils.py:80)
[06/30 14:06:54]     INFO | Loading plugins . . . (plugin_loader.py:30)
[06/30 14:06:54]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[06/30 14:06:55]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[06/30 14:06:55]  WARNING | If you want to use telegram_reports, please type in console: 'pip3 install gramaddict[telegram-reports]' (telegram.py:18)
[06/30 14:06:55]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[06/30 14:06:55]    DEBUG | Arguments used: --config /home/alvi/repos/IBot/UI/instagram-bot-dashboard/Bot/accounts/a.vlii/config.yml (config.py:158)
